date,experiment_name,domain,url,start_seconds,end_seconds,deepgram_model,llm_provider,llm_model,segment_count,avg_confidence,chrf_score,xcomet_score,glossary_adherence_rate,glossary_expected_terms,glossary_matched_terms,notes,json_path
2026-04-01,youtube_10m_to_20m,,https://www.youtube.com/watch?v=JycsHP-sGmw,600.000,1200.000,nova-3-general,gemini,gemini-3-flash-preview,61,0.9479,,,,,,,experiments/20260401_youtube_10m_to_20m.json
2026-04-01,youtube_10m_to_20m,,https://www.youtube.com/watch?v=JycsHP-sGmw,600.000,1200.000,nova-3-general,gemini,gemini-3.1-pro-preview,60,0.9421,,,,,,,experiments/20260401_youtube_10m_to_20m.json
2026-04-15,youtube_10m_to_12m,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,720.000,nova-3-general,gemini,gemini-3.1-pro-preview,16,0.9991,,,,,,,experiments/20260415_youtube_10m_to_12m.json
2026-04-15,youtube_10m_to_12m_fixed,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,720.000,nova-3-general,gemini,gemini-3.1-pro-preview,19,0.9994,,,,,,,experiments/20260415_youtube_10m_to_12m_fixed.json
2026-04-15,ep_sweep_300ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,3,0.9987,,,,,,,experiments/20260415_ep_sweep_300ms.json
2026-04-15,ep_sweep_500ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,3,0.9987,,,,,,,experiments/20260415_ep_sweep_500ms.json
2026-04-15,ep_sweep_800ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,6,0.9992,,,,,,,experiments/20260415_ep_sweep_800ms.json
2026-04-15,ep_sweep_1200ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,6,0.9992,,,,,,,experiments/20260415_ep_sweep_1200ms.json
2026-04-15,ep_sweep_1500ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,6,0.9992,,,,,,,experiments/20260415_ep_sweep_1500ms.json
2026-04-15,ep_sweep_300ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,7,0.9993,,,,,,,experiments/20260415_ep_sweep_300ms.json
2026-04-15,ep_sweep_500ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,2,0.9980,,,,,,,experiments/20260415_ep_sweep_500ms.json
2026-04-15,ep_sweep_800ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,6,0.9992,,,,,,,experiments/20260415_ep_sweep_800ms.json
2026-04-15,ep_sweep_1200ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,2,0.9980,,,,,,,experiments/20260415_ep_sweep_1200ms.json
2026-04-15,ep_sweep_1500ms,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,630.000,nova-3-general,gemini,gemini-3.1-pro-preview,5,0.9992,,,,,,,experiments/20260415_ep_sweep_1500ms.json
2026-04-15,youtube_10m_to_12m_new_prompt,,https://www.youtube.com/watch?v=wjZofJX0v4M,600.000,720.000,nova-3-general,gemini,gemini-3.1-pro-preview,11,0.9994,,,,,,,experiments/20260415_youtube_10m_to_12m_new_prompt.json
2026-07-22,baseline_after_streaming_fix,llm_lecture_mixed_ja_en,experiments\clips\clip_3m00_90s.wav,0.000,0.000,nova-3,gemini,gemini-2.5-flash,7,0.9650,,,,,,"avg_latency=7.54s max_latency=8.39s avg_mt_latency=0.15s; Post-fix baseline: direct streaming Gemini (gemini-2.5-flash, thinking=0), parallel workers, Deepgram nova-3 multi. Clip: LLM2024_8_part1.mp4 @3:00-4:30.",experiments\20260722_baseline_after_streaming_fix.json
2026-07-22,baseline_with_soft_finalize,llm_lecture_mixed_ja_en,experiments\clips\clip_3m00_90s.wav,0.000,0.000,nova-3,gemini,gemini-2.5-flash,7,0.9304,,,,,,avg_latency=6.91s max_latency=8.37s avg_mt_latency=0.16s; Added UtteranceEnd handling + 4s max-interim-duration soft-finalize to fix indefinite stalling on continuous speech.,experiments\20260722_baseline_with_soft_finalize.json
2026-07-22,soft_finalize_timeout_flashlite,llm_lecture_mixed_ja_en,experiments\clips\clip_4m00_40s_stall_repro.wav,0.000,0.000,nova-3,gemini,gemini-2.5-flash-lite,11,0.9610,,,,,,"avg_latency=8.00s max_latency=10.77s avg_mt_latency=0.12s; Validates: UtteranceEnd+max-interim-duration soft-finalize, translation timeout+retry (fixes worker hang bug found via diagnostics), gemini-2.5-flash-lite (2.5-flash daily free quota exhausted from testing).",experiments\20260722_soft_finalize_timeout_flashlite.json
2026-07-22,tuned_2_5s_window,llm_lecture_mixed_ja_en,experiments\clips\clip_tune_18s.wav,0.000,0.000,nova-3,gemini,gemini-2.5-flash-lite,5,0.9510,,,,,,"avg_latency=5.03s max_latency=5.74s avg_mt_latency=0.10s; Tuning test v2: max_interim_duration 4.0->2.5s, endpointing 500->300ms, utterance_end_ms left at default 1000ms (700ms was likely below Deepgram's allowed minimum).",experiments\20260722_tuned_2_5s_window.json
